mWeb URL,In_App URL,http Status
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.com/promo/2019/0724/M5E3ENG.html/,https://pages.ebay.com/promo/2019/0724/M5E3ENG_app.html,200
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.es/vouchers/REAC/index.html/,https://pages.ebay.es/vouchers/REAC/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.com/promo/2020/0101/U320ESOCIAL.html/,https://pages.ebay.com/promo/2020/0101/U320ESOCIAL_app.html,200
https://pages.ebay.co.uk/coupons/2020/M2617/index.html/,https://pages.ebay.co.uk/coupons/2020/M2617/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.com/promo/2019/0922/REAENG.html/,https://pages.ebay.com/promo/2019/0922/REAENG_app.html,200
https://pages.ebay.es/vouchers/REAC/index.html/,https://pages.ebay.es/vouchers/REAC/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.es/vouchers/REAC/index.html/,https://pages.ebay.es/vouchers/REAC/index_app.html,200
https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index.html/,https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index_app.html,200
https://pages.ebay.es/vouchers/REAC/index.html/,https://pages.ebay.es/vouchers/REAC/index_app.html,200
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.com/coupon_app/CPNN1/index.html/,https://pages.ebay.com/coupon_app/CPNN1/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.fr/promos/2020/15508/bonus_S2B.html/,https://pages.ebay.fr/promos/2020/15508/bonus_S2B_app.html,200
https://pages.ebay.fr/vouchers/REAC/index.html/,https://pages.ebay.fr/vouchers/REAC/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.it/promos/2020/private/16591/S2B_bonus_may.html/,https://pages.ebay.it/promos/2020/private/16591/S2B_bonus_may_app.html,200
https://pages.ebay.es/promos/2020/16575/bonus_01052020.html/,https://pages.ebay.es/promos/2020/16575/bonus_01052020_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.co.uk/vouchers/REAC/index.html/,https://pages.ebay.co.uk/vouchers/REAC/index_app.html,404
https://pages.ebay.de/gutscheine/all/index.html/,https://pages.ebay.de/gutscheine/all/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.it/buono_sconto/index.html/,https://pages.ebay.it/buono_sconto/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
https://pages.ebay.co.uk/coupons_app/CM/index.html/,https://pages.ebay.co.uk/coupons_app/CM/index_app.html,200
https://pages.ebay.ca/coupon/generic/app.html/,https://pages.ebay.ca/coupon/generic/app_app.html,404
https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index.html/,https://pages.ebay.com.au/Buyer_coupons/promotional_offers/index_app.html,200
https://pages.ebay.com/coupon/CPNN1/index.html/,https://pages.ebay.com/coupon/CPNN1/index_app.html,200
